ACCT 115,Fin Accounting Foundations,1111
ACCT 116,Managrl Acctg Foundations,1111
ACCT 120,Accounting for New Ventures,0001
ACCT 321,Financial Reporting I,1111
ACCT 322,Financial Reporting II,1111
ACCT 323,Financial Reporting III,0010
ACCT 331,Cost Accounting,1110
ACCT 336,Intro Interntl Accounting,0010
ACCT 341,Principles of Auditing,1111
ACCT 352,Accounting Information Systems,1111
ACCT 355,Forensic Accounting,1000
AE 220,Introduction to HVAC,0101
AE 340,Arch Illum & Elect Sys,1010
AE 380,Special Tops Arch Engr,0100
AE 390,Arch Engr Design I,1010
AE 391,Arch Engr Design II,0101
AE 430,Control Systems for HVAC,0010
AFAS 101,Intro to Africana Studies,1111
AFAS 201,Cross Currents in AFAS,1010
AFAS 250,African American Herstories,0100
AFAS 295,Special Topics in AFAS,0100
AFAS 301,Politics of Hip Hop,0000
AFAS 310,"Women, Crime, & History",0000
AFAS 385,"Rum, Rice & Revolution",0000
AFAS 401,Urban Social Just Prac I,0000
AFAS 402,Urban Social Just Prac II,0000
ANAT 101,Anatomy & Physiology I,1100
ANAT 102,Anatomy & Physiology II,0110
ANAT 103,Anatomy & Physiology III,0011
ANAT 202,Sectional Anatomy,1101
ANAT 420,Advanced Anatomy I,1010
ANAT 421,Advanced Anatomy II,0101
ANTH 101,Cult Divers: Intro Cult Anthro,1111
ANTH 110,Hum Past: Anth/Prehis Arc,1111
ANTH 120,Bib Archaeology Isrl/Jord,0000
ANTH 210,Worldview: Sci/Rel/Magic,0000
ANTH 212,Topics in World Ethnography,1010
ANTH 215,Anthropology of Gender,1000
ANTH 220,Age In Cross-Cult Perspec,0000
ANTH 255,Psychological Anthropology,0100
ANTH 310,Soc In Tran: Mdrn & 3 Wld,1001
ANTH 312,Appr Intercultural Behvr,0101
ANTH 330,Media Anthropology,0000
ANTH 355,Anthropology of Cyberspace,0000
ANTH 360,Culture and the Environment,1000
ANTH 363,Sacred Traditions of the East,0100
ANTH 365,Family and Kinship,0010
ANTH 370,Ethnographic Methods,0010
ANTH 390,Seminar in Ethnography,0010
ANTH 410,Cultural Theory,0000
ARBC 101,Arabic I,1111
ARBC 102,Arabic II,1111
ARBC 103,Arabic III,1111
ARBC 201,Arabic IV,1111
ARBC 202,Arabic V,1111
ARBC 203,Arabic VI,1111
ARBC 301,Arabic VII,1111
ARBC 302,Arabic VIII,1111
ARBC 303,Arabic IX,1111
ARBC 411,Intro to Arabic Stylistics,1010
ARBC 471,Arabic Civilization,0100
ARBC 480,Arabic Minor Thesis Course,0000
ARCH 101,Studio 1-A,1000
ARCH 102,Studio 1-B,0100
ARCH 103,Studio 2-A,0010
ARCH 104,Studio 2-B,1000
ARCH 105,Studio 3-A,0100
ARCH 106,Studio 3-B,0010
ARCH 111,Studio 1-1,1100
ARCH 112,Studio 1-2,0110
ARCH 113,Studio 1-3,0011
ARCH 121,Studio 2-1,1000
ARCH 122,Studio 2-2,0100
ARCH 123,Studio 2-3,0010
ARCH 141,Architecture and Society I,1010
ARCH 142,Architecture and Society II,0101
ARCH 143,Architecture and Society III,1010
ARCH 150,Intro To CADD I,0001
ARCH 151,Architectural Drawing I,1000
ARCH 152,Architectural Drawing II,0110
ARCH 153,Intro to CADD II,0101
ARCH 155,Basic Architectural Drawing,1100
ARCH 156,Graphic Communications I,0111
ARCH 161,Architectural Construction,1010
ARCH 191,Studio 1-1,0101
ARCH 192,Studio 1-2,1010
ARCH 231,Studio 3-1,1000
ARCH 232,Studio 3-2,0100
ARCH 233,Studio 3-3,0010
ARCH 241,Studio 4-1,1000
ARCH 242,Studio 4-2,0100
ARCH 243,Studio 4-3,0010
ARCH 261,Environmental Systems I,1000
ARCH 262,Environmental Systems II,0110
ARCH 263,Environmental Systems III,0010
ARCH 321,General Lecture Series I,1000
ARCH 322,General Lecture Series II,0100
ARCH 336,Professional Practice II,0000
ARCH 341,Theories of Architecture I,1000
ARCH 342,Theories of Architecture II,0100
ARCH 343,Theories of Architecture III,0010
ARCH 344,History of Modern Movement I,1000
ARCH 345,History of Modern Movement II,0100
ARCH 346,History Philadelphia Arch,0001
ARCH 347,Summer Study Tour Abroad,0001
ARCH 348,Studies in Vernacular Arch,0010
ARCH 351,Studio 5-1,1000
ARCH 352,Studio 5-2,0100
ARCH 353,Studio 5-3,0010
ARCH 361,Studio 6-1,1000
ARCH 362,Studio 6-2,0100
ARCH 363,Studio 6-3,0010
ARCH 421,Enviro Psych & Desgn Thry,0001
ARCH 431,Architectural Programming,0011
ARCH 432,The Development Process,0010
ARCH 435,Management Seminar I,1000
ARCH 436,Management Seminar II,0100
ARCH 441,Urban Design Seminar I,1000
ARCH 442,Urban Design Seminar II,0100
ARCH 451,Advanced Drawing,0010
ARCH 455,Comp Appls Arch I,0000
ARCH 463,Emerging Architectural Tech,0001
ARCH 464,Building Enclosure Design,0001
ARCH 465,Energy and Architecture,0001
ARCH 496,Thesis I,1000
ARCH 497,Thesis II,0100
ARCH 498,Thesis III,0010
ARTH 101,Hist/Art: Ancient-Medieval,1101
ARTH 102,Hist/Art: High Ren-Modern,1111
ARTH 103,Hist Art- Erly/Late Modrn,1011
ARTH 300,History of Modern Design,1111
ARTH 301,Asian Art and Culture,1010
ARTH 302,Art of India,0100
ARTH 303,Art of China,0100
ARTH 304,Art of Japan,0010
ARTH 335,Hist Costume: Precl-Directoire,1010
ARTH 336,Hist Cstm-Directoire/Wwi,0101
ARTH 337,Hst Cstm: Post WWI/Pres,1000
ASA 351,Study Abroad Lit/Civ/Arts,1111
ASA 352,Study Abroad-Psyc/Socio,1111
ASA 353,Study Abroad-Hist/P Sci,1111
ASA 354,Study Abroad-Euro Union,1111
ASI 180,Interdiscip St Arts/Sci,0000
ASI 265,Spec Interdis St Arts/Sci,0000
BACS 100,Life-Span Human Development,1100
BACS 200,Found of Behavioral Hlth Care,1000
BACS 210,Behavioral Disorders,1100
BACS 220,Counseling Theory and Practice,1000
BACS 230,Genetics and Mental Health,0100
BACS 232,Ethics and Prof Responsibility,0110
BACS 234,Intro to Addictive Disorders,1110
BACS 236,Psychiatric Rehab Princ/Pract,1010
BACS 255,Multicultural Counseling,0110
BACS 301,Group Counseling I,1001
BACS 304,Cogn-Behavioral Counseling I,1000
BACS 310,Recovery/Relapse Prevention,0100
BACS 312,Case Management Methods,1010
BACS 320,Crisis and Brief Intervention,1000
BACS 325,Psychopharmacology for Counsel,0110
BACS 350,Child Psychopathology,1010
BACS 360,Preventing Substance Abuse,0011
BACS 367,Adv Counseling Intervention,1011
BACS 368,Addictions Counsel w/ Spec Pop,0100
BACS 370,Problem Gambling Interventions,1011
BACS 401,Assessment/Treatment Planning,0011
BACS 404,Cogn-Behavioral Counseling II,1100
BACS 405,Family-Focused Interventions,0110
BACS 410,Child and Adolescent Support,0011
BACS 411,Forensic Behavior Hlth Service,0110
BACS 412,Group Counseling II,0101
BACS 414,Co-Occurring Disorders,0011
BACS 420,Psychiatric Rehab Competencies,0110
BACS 490,Senior Research Project,0111
BACS 499,Readings in Behavioral Health,1111
BET 301,Healthcare Technology,0000
BET 302,Biomedical Electronics,0000
BET 303,Medical Imaging Systems,0000
BET 305,Clinical Laboratory Equipment,0000
BIO 100,"App Cells, Genetics & Phys",1010
BIO 101,"App Bio Diversity, Eco & Evol",0101
BIO 106,Bio III: Organismal Bio,0010
BIO 107,"Cells, Genetics & Physiology",1010
BIO 108,"Cells, Genetics & Phys Lab",1010
BIO 109,"Bio Diversity, Eco & Evol",0101
BIO 110,"Bio Diversity, Eco & Evol Lab",0101
BIO 118,Basics of Cancer,1001
BIO 122,Cells and Genetics,1010
BIO 124,Evolution & Organismal Div,0100
BIO 126,Physiology and Ecology,0010
BIO 141,Essential Biology,0011
BIO 161,General Biology I,1000
BIO 162,General Biology II,0100
BIO 163,General Biology III,0010
BIO 164,General Biology Lab I,0000
BIO 165,General Biology Lab II,0000
BIO 166,General Biology Lab III,0000
BIO 201,Human Physiology I,1010
BIO 202,Human Physiology Laboratory,1111
BIO 203,Human Physiology II,0101
BIO 212,Biotechnology,0010
BIO 214,Principles of Cell Biology,1010
BIO 215,Techniques in Cell Biology,0101
BIO 217,Evolution,1010
BIO 218,Principles of Molecular Bio,0101
BIO 219,Techniques in Molecular Bio,1111
BIO 220,Essential Microbiology,1101
BIO 221,Microbiology,1101
BIO 222,Microbiology Laboratory,1101
BIO 223,Parasitology,0100
BIO 224,"Form, Function & Evol of Verts",0111
BIO 225,Vertebrate Bio & Evolution Lab,0111
BIO 226,Microbiology for Health Prof'l,1011
BIO 231,Cell Physiology,0000
